,Company,TypeName,Ram,OpSys,Weight,Touchscreen,IPS,PPI,Cpu_Name,HDD,SSD,Gpu brand
1028,Dell,Ultrabook,8,Windows,1.29,1,0,276.053530085501,Intel Core i5,0,256,Intel
1029,HP,Notebook,8,Windows,2.63,0,0,127.33567457123112,Intel Core i5,0,256,Nvidia
1030,HP,Notebook,4,Windows,1.64,0,0,111.93520355955212,Intel Core i5,0,256,Intel
1031,Acer,Notebook,6,Windows,2.1,0,0,100.45466986113652,AMD Processor,1000,0,AMD
1032,MSI,Gaming,8,Windows,2.7,0,0,127.33567457123112,Intel Core i7,1000,128,Nvidia
1033,HP,Notebook,8,Windows,1.95,0,0,157.3505121487356,Intel Core i5,0,256,Intel
1034,HP,Notebook,8,Windows,1.84,0,0,141.21199808219862,Intel Core i7,0,256,Intel
1035,HP,Ultrabook,8,Windows,1.26,0,0,176.23257360658386,Intel Core i7,0,256,Intel
1036,HP,Notebook,4,Windows,2.04,0,0,100.45466986113652,Intel Core i5,500,0,Intel
1037,Toshiba,Ultrabook,8,Windows,1.47,0,1,157.3505121487356,Intel Core i7,0,256,Intel
1038,Dell,Notebook,8,Windows,2.09,0,0,141.21199808219862,Intel Core i5,0,256,Intel
1039,HP,Notebook,8,Windows,1.64,0,0,157.3505121487356,Intel Core i5,0,256,Intel
1040,Lenovo,2 in 1 Convertible,4,Windows,1.8,1,1,141.21199808219862,Intel Core i7,0,256,Intel
1041,Vero,Notebook,2,Windows,1.45,0,0,111.93520355955212,Other Intel Processor,0,0,Intel
1042,Toshiba,Notebook,16,Windows,2.4,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia
1043,Lenovo,Notebook,8,Windows,2.3,0,0,141.21199808219862,Intel Core i5,0,256,Intel
1044,HP,Notebook,4,Windows,1.54,0,0,157.3505121487356,Intel Core i5,500,0,Intel
1045,HP,Notebook,8,Windows,1.84,0,0,141.21199808219862,Intel Core i5,500,256,Intel
1046,HP,Notebook,8,Windows,1.43,0,0,157.3505121487356,Intel Core i5,0,256,Intel
1047,MSI,Gaming,16,Windows,3.78,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia
1048,Lenovo,Gaming,16,Windows,4.6,0,1,127.33567457123112,Intel Core i7,1000,128,Nvidia
1049,Asus,Netbook,4,Others,1.2,0,0,135.0942111925629,Other Intel Processor,0,0,Intel
1050,Lenovo,Notebook,16,Windows,1.1,0,1,209.8006828649808,Intel Core i7,0,256,Intel
1051,HP,Notebook,8,Windows,1.91,0,1,141.21199808219862,Intel Core i7,1000,0,Nvidia
1052,Dell,2 in 1 Convertible,8,Windows,2.3,1,1,141.21199808219862,Intel Core i5,0,256,Intel
1053,HP,Notebook,4,Windows,2.04,0,0,100.45466986113652,Intel Core i5,0,256,Intel
1054,Dell,Ultrabook,16,Windows,1.2,1,0,276.053530085501,Intel Core i7,0,1000,Intel
1055,HP,Notebook,4,Windows,2.31,0,0,100.45466986113652,Intel Core i3,500,0,Intel
1056,HP,Notebook,4,Others,1.96,0,0,100.45466986113652,Intel Core i5,500,0,Intel
1057,Acer,Notebook,8,Windows,2.4,0,0,100.45466986113652,AMD Processor,1000,0,AMD
1058,Dell,2 in 1 Convertible,12,Windows,1.6,1,1,165.6321180513006,Intel Core i7,0,256,Intel
1059,MSI,Gaming,16,Windows,2.94,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia
1060,HP,Notebook,8,Windows,2.04,0,0,141.21199808219862,Intel Core i7,0,256,Intel
1061,Asus,Gaming,16,Others,4.0,0,1,127.33567457123112,Intel Core i7,1000,0,Nvidia
1062,Dell,Notebook,4,Windows,2.25,0,0,141.21199808219862,Intel Core i5,1000,0,Intel
